Physical Address Suburb,Physical Address State,Physical Address Post Code,2015 Aged Care Planning Region (ACPR),SA4 Region,Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2016-17 Australian Government Funding
BRAIDWOOD,NSW,2622,Southern Highlands,Capital Region,Multi-Purpose Service,27,2,,Southern NSW Local Health District,State Government,Inner Regional Australia,-35.44276381,149.8054073,947222
WEST ALBURY,NSW,2640,Riverina/Murray,Murray,Residential,122,,,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,-36.07540064,146.8908956,8258323
BREWARRINA,NSW,2839,Orana Far West,Far West and Orana,Multi-Purpose Service,12,4,,Western NSW Local Health District,State Government,Very Remote Australia,-29.961591,146.864313,885351
ALSTONVILLE,NSW,2477,Far North Coast,Richmond - Tweed,Residential,90,,,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,-28.8407184,153.435638,5763466
URANA,NSW,2645,Riverina/Murray,Murray,Multi-Purpose Service,19,,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.325391,146.267697,779588
ANNANDALE,NSW,2038,Inner West,Sydney - Inner West,Residential,83,,,St Basil's Homes,Charitable,Major Cities of Australia,-33.87589048,151.1727327,5146461
BARADINE,NSW,2396,Orana Far West,Far West and Orana,Multi-Purpose Service,14,3,,Western NSW Local Health District,State Government,Remote Australia,-30.945519,149.067008,748189
ARMIDALE,NSW,2350,New England,New England and North West,Residential,64,,,Autumn Lodge,Community Based,Inner Regional Australia,-30.503834,151.65837,4146199
ARNCLIFFE,NSW,2205,South East Sydney,Sydney - Inner South West,Residential,130,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.93965582,151.1348558,8788135
ASHFIELD,NSW,2131,Inner West,Sydney - Inner West,Residential,60,,,Ashfield Baptist Homes Ltd,Religious,Major Cities of Australia,-33.89495522,151.1258414,3258005
URBENVILLE,NSW,2475,New England,New England and North West,Multi-Purpose Service,19,6,,Northern NSW Local Health District,State Government,Outer Regional Australia,-28.47155531,152.5432704,1156276
ASHFIELD,NSW,2131,Inner West,Sydney - Inner West,Residential,135,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-33.89595,151.127894,5584660
DORRIGO,NSW,2453,Mid North Coast,Coffs Harbour - Grafton,Multi-Purpose Service,21,6,,Mid North Coast Local Health District,State Government,Outer Regional Australia,-30.340795,152.713811,1037996
BALLINA,NSW,2478,Far North Coast,Richmond - Tweed,Residential,71,,,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,-28.85368951,153.5693841,3877632
WARREN,NSW,2824,Orana Far West,Far West and Orana,Multi-Purpose Service,32,4,,Western NSW Local Health District,State Government,Outer Regional Australia,-31.693977,147.836194,1463864
TUMBARUMBA,NSW,2653,Riverina/Murray,Riverina,Multi-Purpose Service,35,10,,Murrumbidgee Local Health District,State Government,Outer Regional Australia,-35.77979811,148.0055303,1446630
BARHAM,NSW,2732,Riverina/Murray,Murray,Residential,35,,,Murray Haven Homes Inc,Community Based,Outer Regional Australia,-35.62314526,144.1331867,1458739
DELEGATE,NSW,2633,Southern Highlands,Capital Region,Multi-Purpose Service,10,4,,Southern NSW Local Health District,State Government,Outer Regional Australia,-37.044992,148.945673,667373
BARRABA,NSW,2347,New England,New England and North West,Residential,21,,,Barraba and District Retirement Homes Association Incorporated,Community Based,Outer Regional Australia,-30.38285943,150.6051632,1060287
CULCAIRN,NSW,2660,Riverina/Murray,Murray,Multi-Purpose Service,22,2,,Murrumbidgee Local Health District,State Government,Inner Regional Australia,-35.667327,147.042488,1139558
BASS HILL,NSW,2197,South West Sydney,Sydney - Inner South West,Residential,104,,,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,-33.89957214,151.0034707,7057385
OBERON,NSW,2787,Central West,Central West,Multi-Purpose Service,14,8,,Western NSW Local Health District,State Government,Inner Regional Australia,-33.70539358,149.8530251,905178
BATEAU BAY,NSW,2261,Central Coast,Central Coast,Residential,95,,,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,-33.37428044,151.4793683,4480772
TRANGIE,NSW,2823,Orana Far West,Far West and Orana,Multi-Purpose Service,21,2,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.02902357,147.9742714,995322
BATEAU BAY,NSW,2261,Central Coast,Central Coast,Residential,80,,,Southern Cross Care (NSW & ACT),Religious,Major Cities of Australia,-33.37655678,151.4805947,4793960
TRUNDLE,NSW,2875,Central West,Central West,Multi-Purpose Service,9,,,Western NSW Local Health District,State Government,Outer Regional Australia,-32.92132544,147.704235,423929
